collection,repunit,grpvec
Blanchard R,Alsek,1
Goat Cr,Alsek,1
Klukshu R,Alsek,1
Kudwat Cr,Alsek,1
Takhanne R,Alsek,1
Big Boulder Cr,Chilkat_R,2
Kelsall R,Chilkat_R,2
Tahini R,Chilkat_R,2
Gulkana R - Sourdough,Copper_R,3
Mendeltna Cr,Copper_R,3
Otter Cr,Copper_R,3
Sinona Cr,Copper_R,3
Big Qualicum H,E_Vancouver_Is,4
Chemainus R,E_Vancouver_Is,4
Cowichan R,E_Vancouver_Is,4
Little Qualicum R,E_Vancouver_Is,4
Nanaimo R fa,E_Vancouver_Is,4
Nanaimo R su,E_Vancouver_Is,4
Nimpkish R,E_Vancouver_Is,4
Oyster R,E_Vancouver_Is,4
Puntledge R,E_Vancouver_Is,4
Puntledge R fa,E_Vancouver_Is,4
Qualicum R,E_Vancouver_Is,4
Quinsam R,E_Vancouver_Is,4
Salmon R (Johnstone Strait),E_Vancouver_Is,4
Woss R,E_Vancouver_Is,4
Yakoun R,Haida_Gwaii,5
Dungeness R,Juan_de_Fuca,6
Elwha fa,Juan_de_Fuca,6
Elwha H,Juan_de_Fuca,6
Avacha,Kamchatka,7
Bistraya R,Kamchatka,7
Bolshaya R,Kamchatka,7
