"ID","Not regional","Alsek","Chilkat_R","Copper_R","E_Vancouver_Is","Haida_Gwaii","Juan_de_Fuca","Kamchatka","King_Salmon_R","Low_Fraser_R","Low_Skeena_R","Low_Thompson_R","Mid_Fraser_R","Mid_Up_Yukon","N/Cent_BC_Cst","N_AK_Peninsula","N_Gulf_AK","N_Puget_Sound","N_Thompson_R","Nass_R","NSE_AK","S_BC_Cst","S_Puget_Sound","S_Thompson_R","Situk_R","SSE_AK","Stikine_R","Taku_R","Up_Fraser_R","Up_Skeena_R","W_AK_Cst","W_Vancouver_Is","WA_Cst"
"90839-448",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-449",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-450",0.9977,6.67e-06,0,4.163e-05,0,0,0,0,0,0,2.99e-06,1.38e-06,0,0,9.2e-07,5.52e-06,7.82e-06,0,0,1.61e-06,4.37e-06,4.6e-07,0,0,2.3e-07,0.0001909,0.00199663,8.97e-06,0,7.36e-06,1.863e-05,0,3.91e-06
"90839-451",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-452",0.9871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.611e-05,0,0,0,0,0.00092235,0,0,0.00123195,0.01066056,0,0,0,0,0,9.03e-06
"90839-453",0.9932,0,0,0,6.8e-07,0,8.84e-06,0,0,6.8e-07,0,0,0,0,0,0,0,0.000527,0,0,0,0,0.00626144,0,0,0,0,0,0,0,0,0,1.36e-06
"90839-454",0.9925,0,0,0,7.5e-07,0,6.75e-06,0,0,0,0,0,0,0,0,0,0,0.0006915,0,0,0,7.5e-07,0.00679875,0,0,0,0,0,0,0,0,0,1.5e-06
"90839-455",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-456",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-457",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-458",0.9998,2.48e-06,2e-08,1.732e-05,0,0,0,1.6e-07,0,0,0,4e-08,0,2.8e-07,0,3.86e-06,1.16e-06,0,0,2e-08,3.4e-07,0,0,0,6e-07,6.14e-06,0.0001432,4e-08,0,4e-08,2.43e-05,0,0
"90839-459",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-460",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-461",0.9588,0.000103,0,0.0002472,0,0,0,4.12e-06,0,0,6.18e-05,0,0,0,1.648e-05,0.00014008,0.00020188,0,0,0.00021836,3.296e-05,4.12e-06,0,0,2.884e-05,0.00316416,0.03577808,0.00040788,0,0.00021012,0.0005356,0,4.532e-05
"90839-462",0.9982,1.98e-05,0,7.29e-05,0,0,0,7.2e-07,0,0,0,0,0,3.78e-06,0,3.366e-05,1.206e-05,0,0,7.2e-07,7.2e-07,0,0,0,4.68e-06,4.86e-05,0.001386,3.6e-06,0,3.06e-06,0.00020952,0,1.8e-07
"90839-463",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
